epoch,train_loss,optimizer_steps,learning_rate,train_loss_effect_positive,train_loss_effect_negative,train_loss_effect_no_effect,train_loss_effect_hard_negative,train_loss_effect_clean,validation_loss,validation_chunk_top1_within_region,validation_chunk_top5_hit_center,validation_chunk_mean_abs_delay,validation_effect_balanced_accuracy,validation_positive_gate_mean,validation_negative_gate_mean,validation_no_effect_gate_mean,validation_hard_negative_gate_mean,validation_clean_gate_mean,validation_gate_gap,validation_loss_effect_positive,validation_loss_effect_negative,validation_loss_effect_no_effect,validation_loss_effect_hard_negative,validation_loss_effect_clean
1,5.870551157805879,59,8.999999999999999e-05,0.6789861442679066,0.6878313523227886,0.6829037545091015,0.5030122480149997,0.6092539096282701,5.025277200199309,0.7045454545454546,0.7883522727272727,4.0625,0.5810673701298701,0.5365101207386364,0.49835423060825895,0.49825815054086536,0.49530747357536764,0.5055999755859375,0.03825197019777099,0.5472350915273031,0.7370212447075617,0.6050614317258199,0.654456342969622,0.46604048354285105
2,4.9227153123435325,59,0.00017849999999999997,0.616023450584735,0.6421632173202806,0.6177569395404751,0.3581928509776875,0.4641547963275748,4.83237948304131,0.7642045454545454,0.9431818181818182,3.569602272727273,0.6153612012987013,0.4793312766335227,0.34795082389534293,0.3581102811373197,0.3269832835477941,0.32659912109375,0.12122099549620302,0.7626728401297614,0.48841783759139834,0.3759299303804125,0.43100629179250627,0.2727592183010919
3,4.188471567832817,59,0.000267,0.4851724144260762,0.5245809747000872,0.5395726642366183,0.31900486571051306,0.3582774557299533,5.491105637380055,0.8110795454545454,0.9275568181818182,2.9730113636363638,0.5710227272727273,0.3150454434481534,0.1668657451481014,0.17611239506648138,0.15491530474494486,0.13221359252929688,0.138933048381672,1.3349502994900657,0.25958092670355526,0.18031379970766248,0.2660736327192613,0.10088590638978141
4,3.7080549830097262,59,0.0002998731649136341,0.3888358870300196,0.4614772402634055,0.5033802589622595,0.21565164537247966,0.3743318573145543,5.552598138650258,0.8011363636363636,0.9147727272727273,2.9389204545454546,0.6191152597402597,0.3927390358664773,0.17822328480807217,0.1821415240948017,0.15823454015395222,0.1953582763671875,0.2105975117716756,1.333392234075637,0.2818923633368242,0.19489318345274245,0.28964246569999624,0.17082806144441878
5,3.296489885297872,59,0.00029911749633030016,0.3234102127410598,0.39665213707139935,0.4083277788960328,0.28619838468099046,0.2883578803926959,6.5331243095653395,0.7542613636363636,0.875,3.9588068181818183,0.5693993506493507,0.3509979248046875,0.1748815488505673,0.18374007940292358,0.1473551357493681,0.1757887601852417,0.16725784540176392,1.6942747561704545,0.33071207915920586,0.2367685011454991,0.3357549358403221,0.15118881918135144
6,2.9194877996283064,59,0.0002976846501793808,0.2652666510666831,0.3328800288549924,0.34630510899222505,0.15659344852980922,0.25195205097789164,6.690160761276881,0.7755681818181818,0.8977272727272727,3.5894886363636362,0.6097808441558441,0.3280029296875,0.10500991344451904,0.11778459182152382,0.07005758846507353,0.09623044729232788,0.21021833786597618,1.9460158660298301,0.15554026789253667,0.1870414921570392,0.09721682375917833,0.07979517394588106
7,2.437950055477983,59,0.0002955811333517176,0.1742014212817964,0.24912614078592446,0.263860485690125,0.16183080040786604,0.11072511698308764,8.228698830519404,0.7869318181818182,0.890625,2.9673295454545454,0.5766030844155844,0.2784507057883523,0.09798079032402535,0.11404099601965684,0.05410854956682991,0.0869034081697464,0.16440970976869546,2.6745444592975436,0.17473702684843115,0.1882474401943563,0.1394556833062476,0.07195840279261272
8,2.436071005918212,59,0.0002928164984111866,0.18845937843039884,0.2650982505815514,0.21561562863446898,0.24744130405834167,0.17746751556484724,9.263092496742805,0.7571022727272727,0.8877840909090909,3.8806818181818183,0.5879667207792207,0.24421509829434482,0.053642634737801245,0.05997417752559368,0.02923914965461282,0.06435030698776245,0.18424092076875115,3.267461731320336,0.0785398104205905,0.0776554608323966,0.07267524274495718,0.049835125250475745
9,2.2953809277485995,59,0.00028940330021426256,0.16702906386453217,0.2559688553782338,0.1892392462971857,0.2350361387608415,0.15906089581391317,7.524479832855009,0.796875,0.9275568181818182,2.7613636363636362,0.6391030844155845,0.34611095081676135,0.0870738248159359,0.09847527971634498,0.040362161748549515,0.112200528383255,0.24763567110041637,2.2860162811619893,0.11337785765949991,0.10884239701997667,0.09478180949476414,0.08973932833898635
10,2.1128275232799982,59,0.0002853570388954673,0.13184150643015313,0.22728984334143038,0.13860332321817592,0.2604036327861881,0.16542109294983923,9.012038943313417,0.8011363636363636,0.9090909090909091,2.9829545454545454,0.6136363636363636,0.3134377219460227,0.09001883332218442,0.10302974742192489,0.04646463253918816,0.09792552515864372,0.21040797452409782,3.0575599386578514,0.15155083864755442,0.15372593063096116,0.1116561355641655,0.08411723942983718
11,2.16663863093166,59,0.00028069608947761904,0.15997780275420617,0.22536904737353325,0.18744047759574348,0.23404767505540433,0.08022022520446502,8.01535003596828,0.7670454545454546,0.921875,3.428977272727273,0.6439732142857143,0.3590365323153409,0.08561834838096198,0.09500397799106744,0.056220503414378446,0.0870196670293808,0.2640325543242734,2.458198694955735,0.16505568850386357,0.13082144457092953,0.16250510925116637,0.09540582306328274
12,1.7938020027289956,59,0.00027544161842653906,0.09415279627162015,0.15600256347965638,0.14252952577041114,0.13570983401673326,0.06039606836393586,10.64516327618843,0.8039772727272727,0.9161931818181818,2.5994318181818183,0.6265219155844156,0.29432608864524146,0.03886084142443422,0.04664161400153087,0.02008367286008947,0.02815740928053856,0.24768447464371057,3.73047821862357,0.06657323770681008,0.059460640085273464,0.07210480079742237,0.017474937297049024
13,1.7147531226529913,59,0.0002696174875291597,0.08358745665242107,0.14272215386252787,0.12162370386857034,0.1229641628431914,0.07534380977128838,10.675054071227176,0.78125,0.9076704545454546,3.1051136363636362,0.6012581168831169,0.26828608729622583,0.05805129122424435,0.06611658202914092,0.021827445310704848,0.08266080915927887,0.2021695052670849,3.6698498924573264,0.12245777990825618,0.11443993563686188,0.10733601979362513,0.09586481679053534
14,1.6738711353075706,59,0.0002632501455315466,0.07556116076628283,0.15860503029682027,0.0780720269066771,0.22691808009551742,0.08891091672545773,12.356177078293902,0.7599431818181818,0.8892045454545454,3.4644886363636362,0.6114042207792207,0.2822501442649148,0.05192685436892819,0.062296317460445255,0.02938621096751269,0.03236447740346193,0.21995382680446954,4.292521488098871,0.14232276230441562,0.13753756496312453,0.14449273158078585,0.028542009758807364
15,1.5464741921020766,59,0.00025636850802893195,0.05499893503058386,0.1106579545865593,0.0781120060256414,0.1276385583993742,0.05023013030462977,11.760525217623494,0.7457386363636364,0.8735795454545454,3.528409090909091,0.6136363636363636,0.2744587009603327,0.05009484203991952,0.05847401630419951,0.027097559150527504,0.04442222975194454,0.21598468465613319,4.037733412924267,0.13191577495862952,0.10214574657896135,0.16500373119924916,0.030842278108355544
16,1.5036799988504184,59,0.0002490038261532065,0.0627347873602757,0.10258854471119437,0.07158401869513663,0.11502551779908649,0.05202699233348663,11.457767115107604,0.828125,0.921875,2.4360795454545454,0.622362012987013,0.3102042458274148,0.05563052337278019,0.06704973529737729,0.020062284434542936,0.05709405615925789,0.2431545105300375,3.976501064641135,0.12120781649303224,0.10416485261521302,0.1265909452028739,0.05598453822590056
17,1.527560541185282,59,0.00024118954465419078,0.07138757260863558,0.10748187577947817,0.059681762042909196,0.11729346325234273,0.10878966228776366,11.863726810019996,0.8025568181818182,0.90625,2.9517045454545454,0.6237824675324675,0.2806063565340909,0.036648547881609435,0.04604113574784536,0.014567189356859992,0.022518660873174667,0.23456522078624553,4.0100142785481045,0.06458650104468688,0.061885821261620594,0.06389776940860818,0.013481367379426956
18,1.4342755139884302,59,0.0002329611500191728,0.06277719914017371,0.08648306213957366,0.06348792225299664,0.09656923403519489,0.04487043770283073,11.919325371583303,0.7840909090909091,0.9275568181818182,3.1193181818181817,0.6784699675324675,0.39422191273082385,0.05250141256815427,0.062352820801047176,0.02520017807974535,0.0465064262971282,0.33186909192977665,4.088500241438548,0.13441386372696365,0.11644440235631053,0.14324236633685705,0.03905068994277999
19,1.519124449309656,59,0.00022435600932043572,0.03459424089040544,0.15261830181727912,0.051472657429936376,0.2646322282370559,0.023398437281114532,12.754190595277274,0.8139204545454546,0.9332386363636364,2.772727272727273,0.6420454545454546,0.3192718029022217,0.03395237347909382,0.03580293890375357,0.03568290174007416,0.0182222006842494,0.2834688639984681,4.6595991140320185,0.11470927863116404,0.08213441490789548,0.13800089138541288,0.03610117115230033
20,1.4811117568258512,59,0.00021541320052260828,0.04670091662200768,0.12465653366000308,0.04761240374106002,0.17339352328932456,0.1248137280735275,13.635865044191762,0.7286931818181818,0.9105113636363636,3.768465909090909,0.6342329545454546,0.30433586510744964,0.0358056082547485,0.04248690361586901,0.0222149298471563,0.02127574011683464,0.26184896149158066,4.9127994151342484,0.05825656844657109,0.05727360371661018,0.052424509229543524,0.012550449497731668
21,1.301788675583015,59,0.00020617333502045038,0.03557364386432386,0.053696458572368884,0.03148070023734501,0.050455897547288846,0.07897521345668053,14.699693082085494,0.78125,0.9048295454545454,3.5170454545454546,0.6602069805194806,0.34313826127485797,0.03135522222751147,0.039914050640968174,0.00788964900900336,0.025543085299432278,0.3032242106338898,5.213537843454452,0.12109822808101203,0.10328575834942708,0.13041256497187229,0.03975801007999551
