epoch,train_loss,optimizer_steps,learning_rate,validation_loss,validation_chunk_top1_within_region,validation_chunk_top5_hit_center,validation_chunk_mean_abs_delay,validation_effect_balanced_accuracy,validation_positive_gate_mean,validation_negative_gate_mean,validation_no_effect_gate_mean,validation_clean_gate_mean
1,3.4978440474655668,59,8.999999999999999e-05,3.539801523355501,0.6463068181818182,0.8082386363636364,4.798295454545454,0.5,0.02781579711220481,0.028976886303393873,0.02754655251136193,0.0322728157043457
2,2.2829391855304526,59,0.00017849999999999997,3.6510521540240872,0.6036931818181818,0.7301136363636364,4.75,0.5,0.021503556858409534,0.02059820100858614,0.018640949175908014,0.024092495441436768
3,1.958831334518174,59,0.000267,3.7737498430180407,0.6519886363636364,0.6875,3.950284090909091,0.5,0.02301424741744995,0.020533648404208096,0.018442612427931566,0.02237778902053833
4,1.6840151124081368,59,0.0002998731649136341,4.074076968821741,0.6306818181818182,0.7258522727272727,3.694602272727273,0.5,0.01525739919055592,0.013594675373721433,0.011676130386499258,0.01553913950920105
5,1.450573523165816,59,0.00029911749633030016,5.015535060671114,0.7244318181818182,0.84375,3.059659090909091,0.5,0.016185465184125034,0.013606930707956289,0.012325690342829777,0.012564241886138916
6,1.4466667862261755,59,0.0002976846501793808,5.296384872380822,0.6221590909090909,0.7428977272727273,3.6619318181818183,0.5,0.014954071153293957,0.010074863960216571,0.009104703481380757,0.00790734589099884
7,1.292916481777773,59,0.0002955811333517176,5.206436746853536,0.6661931818181818,0.8068181818181818,3.2670454545454546,0.5,0.009936663914810528,0.0077651297891294805,0.004545552799334893,0.007317144423723221
8,1.232632839073569,59,0.0002928164984111866,4.734914443256067,0.6747159090909091,0.8465909090909091,3.4360795454545454,0.49969561688311687,0.028695123947479508,0.016172562326703752,0.009985600813077046,0.009830513969063759
9,1.1850094077950817,59,0.00028940330021426256,5.545552609377497,0.6761363636363636,0.7599431818181818,3.258522727272727,0.5004058441558441,0.0327910990877585,0.015346263329704086,0.008346009426392041,0.0064361244440078735
10,1.1672004663338096,59,0.0002853570388954673,6.582397575312782,0.6363636363636364,0.7443181818181818,2.8579545454545454,0.5035511363636364,0.050923053683205086,0.026346611705693333,0.016861087427689478,0.023993847891688347
11,1.1439216177342302,59,0.00028069608947761904,6.398513657670091,0.6448863636363636,0.7471590909090909,3.127840909090909,0.5018262987012987,0.03423996777697043,0.0130904915851432,0.009835094070205322,0.0023147128522396088
12,1.1337564607798043,59,0.00027544161842653906,6.533027759096252,0.6761363636363636,0.8110795454545454,3.6732954545454546,0.5497159090909091,0.11551047218116847,0.024614373004281674,0.021825070421283062,0.0013442598283290863
13,1.111117645845575,59,0.0002696174875291597,6.275514522988704,0.6633522727272727,0.7840909090909091,3.211647727272727,0.565239448051948,0.17793498450720852,0.05315266288333125,0.05214379398295513,0.009292756207287312
14,1.0983289793386297,59,0.0002632501455315466,5.964215918366487,0.6392045454545454,0.7954545454545454,3.960227272727273,0.5175527597402597,0.04586020467633551,0.00932728208891757,0.00848473866398518,0.0023452825844287872
15,1.0789155010449685,59,0.00025636850802893195,6.503765455181045,0.6463068181818182,0.8139204545454546,3.430397727272727,0.5377435064935066,0.0825767723674124,0.012521802798494117,0.010036804498388218,0.0016555963084101677
16,1.0668704651169858,59,0.0002490038261532065,7.234272960484738,0.6889204545454546,0.7826704545454546,3.7088068181818183,0.5201907467532467,0.06810685543512757,0.018444300278440698,0.01831103517458989,0.0007330430671572685
17,1.0567969275733171,59,0.00024118954465419078,6.856767633207797,0.6548295454545454,0.7840909090909091,3.7301136363636362,0.538961038961039,0.1164800650016828,0.03631744166086247,0.037035321386960834,0.0018193405121564865
